job_id,company_id,location,designation,details_id
121,121,"Pune, Maharashtra, India",Data Analytics Senior Analyst - C12 - PUNE,121
122,122,"Pune, Maharashtra, India",Lead Analyst - Analytics Delivery,122
123,123,"Mumbai, Maharashtra, India",Equity Quant Researcher Analyst,123
124,124,India,Credit Business Risk Manager,124
125,125,India,Relationship Manager-Motor Insurance,125
126,126,India,Support Specialist (Phone),126
127,127,India,"Associate II, Import/Export",127
128,128,India,Onsite Associate,128
129,129,India,[Part Time] [Urgent] Rummy Game Players,129
130,130,APAC,Customer Service Manager,130
131,131,India,Executive - Terminal Operations - Rail & Inland Terminals - Hyderabad,131
132,132,India,Data Analyst,132
133,133,India,Associate,133
134,134,India,Personalized Internet Assessor India - Kannada Language,134
135,135,India,Teammate,135
136,136,India,Vendor Management Coordinator,136
137,137,India,Procurement Specialist,137
138,138,"Pune, Maharashtra, India",Quality Assurance Lead,138
139,139,"Pune, Maharashtra, India",DevSecOps,139
140,140,"Pune, Maharashtra, India",MBSE CAMEO,140
141,141,"Pune, Maharashtra, India",Automation Technician,141
142,142,"Pune, Maharashtra, India","Risk Specialist II, TERA (Travel & Expense Reimbursement)",142
143,143,"Pune, Maharashtra, India",Lead Consultant,143
144,144,"Pune, Maharashtra, India",Senior Business Analyst - TD,144
145,145,"Pune, Maharashtra, India",Associate Engineer,145
146,146,"Pune, Maharashtra, India",Deputy manager,146
147,147,"Pune, Maharashtra, India",Mobile Device Management SME,147
148,148,"Pune, Maharashtra, India",Return to Career - India,148
149,149,"Pune, Maharashtra, India",Lead Systems Engineer,149
152,152,"Pune, Maharashtra, India",Senior Associate,152
153,153,"Pune, Maharashtra, India","Manager, CL6-2",153
155,155,"Pune, Maharashtra, India",Unit Manager - Administration/Senior Unit Manager - Administration,155
156,156,"Pune, Maharashtra, India",ServiceNow-Manager,156
157,157,"Pune, Maharashtra, India",Workday Consultant,157
158,158,"Pune, Maharashtra, India",Manager - Projects,158
159,159,"Pune, Maharashtra, India",Officer: Operations Support Specialist,159
160,160,"Pune, Maharashtra, India",Performance Analyst,160
162,162,"Pune, Maharashtra, India",Consultant,162
164,164,"Pune, Maharashtra, India",Key Account Manager,164
165,165,"Pune, Maharashtra, India",Project Lead,165
166,166,"Pune, Maharashtra, India",Delivery Manager,166
167,167,"Pune, Maharashtra, India",Operations Manager,167
168,168,"Pune, Maharashtra, India","Technical Customer Support, II",168
169,169,"Pune, Maharashtra, India",Work Place Services - Manager,169
170,170,"Hyderabad, Telangana, India","Data Scientist, Product, Support Platform Data Science",170
171,171,India,Data Analytics Intern,171
172,172,"Hyderabad, Telangana, India",Data Analyst,172
173,173,"Hyderabad, Telangana, India",Trainee Data Analyst,173
174,174,"Hyderabad, Telangana, India",PowerBI Developer(B2C),174
175,175,India,Python Developers,175
176,176,APAC,Junior Software Engineer,176
177,177,"Hyderabad, Telangana, India","Product Manager, Innovative Assets, Branded Markets CoE",177
178,178,India,Data Analytics Intern,178
179,179,"Hyderabad, Telangana, India",Python Application Developer,179
180,180,"Hyderabad, Telangana, India",Trainee Data Analyst,180
181,181,"Hyderabad, Telangana, India",Python Developer,181
182,182,India,Business Analyst,182
183,183,Greater Hyderabad Area,Consultant Specialist,183
184,184,"Hyderabad, Telangana, India","Product Manager, Innovative Assets, Branded Markets CoE",184
185,185,India,Data Analytics Intern,185
186,186,"Hyderabad, Telangana, India",Python Application Developer,186
187,187,"Hyderabad, Telangana, India",Trainee Data Analyst,187
188,188,"Hyderabad, Telangana, India",Python Developer,188
189,189,India,Business Analyst,189
190,190,Greater Hyderabad Area,Consultant Specialist,190
191,191,"Hyderabad, Telangana, India",Data Analyst,191
192,192,Greater Hyderabad Area,Technical Specialist,192
193,193,"Hyderabad, Telangana, India",Relationship Manager - Business Banking Group,193
194,194,"Hyderabad, Telangana, India",Team Lead- Engineering Documentation,194
195,195,Greater Hyderabad Area,Lead Consultant,195
196,196,Greater Hyderabad Area,Technical Lead,196
197,197,"Hyderabad, Telangana, India",Data Engineer,197
198,198,"Hyderabad, Telangana, India",Data Analyst,198
199,199,"Hyderabad, Telangana, India",Junior Python Developer Internship in Hyderabad,199
200,200,India,Data and Analytics Support Engineer,200
201,201,"Hyderabad, Telangana, India",Python Developer,201
202,202,"Hyderabad, Telangana, India",Engineering Analyst,202
203,203,India,Python Data Analyst - Contract,203
204,204,"Hyderabad, Telangana, India",LTIMindtree Hiring- AWS DevOps - Hyderabad!,204
205,205,"Hyderabad, Telangana, India",Data Analyst,205
206,206,India,Data Analyst / Data Administrator,206
207,207,Greater Hyderabad Area,Technical Lead,207
208,208,India,Python devops,208
209,209,"Hyderabad, Telangana, India",Software Architect,209
210,210,India,Data Analyst,210
211,211,"Hyderabad, Telangana, India",Data Analyst,211
212,212,"Hyderabad, Telangana, India","Business Analyst, Youtube Trust and Safety",212
213,213,"Hyderabad, Telangana, India",Python + Machine Learning,213
214,214,"Hyderabad, Telangana, India",Information Security Manager,214
215,215,"Hyderabad, Telangana, India",Python Developer (Fresher Graduate),215
216,216,"Hyderabad, Telangana, India",Data Engineer,216
217,217,"Hyderabad, Telangana, India","SQL, Data Analysis, Python",217
218,218,"Hyderabad, Telangana, India",Python Developer,218
219,219,"Hyderabad, Telangana, India",Data Analyst,219
220,220,"Hyderabad, Telangana, India",Power BI Developer,220
221,221,"Hyderabad, Telangana, India",Python Developer,221
222,222,"Hyderabad, Telangana, India","Data Engineer, Overhead Imagery",222
224,224,India,Data Scientist,224
225,225,"Hyderabad, Telangana, India",Technical Lead,225
226,226,"Hyderabad, Telangana, India",Sql Developer,226
227,227,"Hyderabad, Telangana, India",Data Analyst,227
228,228,"Hyderabad, Telangana, India",Dashboard Analytics,228
229,229,"Hyderabad, Telangana, India",SW Engineer III,229
230,230,India,Data or Business Analyst,230
231,231,India,PLSQL / Data Analyst (Fulltime) - Remote Work,231
232,232,India,Jr. Data Scientist,232
233,233,India,Data Scientist,233
234,234,India,Data Analyst,234
235,235,India,Python Developers,235
236,236,India,Python Data Analyst,236
237,237,India,Data Analytics Intern,237
238,238,India,Python Developer,238
239,239,India,Remote Data Science Analyst (Python),239
240,240,India,SQL Mentor,240
241,241,India,Data and Analytics Support Engineer,241
242,242,India,Junior Database Administrator (Fresher),242
243,243,India,Analyst,243
244,244,"Bhopal, Madhya Pradesh, India",Data Analyst,244
245,245,India,Data Analytics Intern,245
246,246,India,Data Analyst,246
